file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\Kaveri\Downloads\Files\Brida\Brida\src\main\java\burp\BurpExtender.java,BurpExtender$Anonymous12,anonymous,5,5,0,5,16,1,0,27,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,83,0,1,6,0,2,1,9,9,0,6,2,0,0,2,25,-1,0
C:\Users\Kaveri\Downloads\Files\Brida\Brida\src\main\java\burp\BurpExtender.java,BurpExtender$Anonymous13,anonymous,5,5,0,5,7,1,0,29,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,6,0,2,0,8,10,0,4,1,0,0,2,25,-1,0
C:\Users\Kaveri\Downloads\Files\Brida\Brida\src\main\java\burp\BurpExtender.java,BurpExtender$Anonymous58,anonymous,1,1,0,1,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-1,0
C:\Users\Kaveri\Downloads\Files\Brida\Brida\src\main\java\burp\BurpExtender.java,BurpExtender$Anonymous14,anonymous,5,5,0,5,3,1,0,20,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,2,0,2,0,5,7,0,4,0,0,0,2,21,-1,0
C:\Users\Kaveri\Downloads\Files\Brida\Brida\src\main\java\burp\BurpExtender.java,BurpExtender$Anonymous15,anonymous,5,5,0,5,6,1,0,22,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,4,0,2,0,7,5,0,4,1,0,0,2,20,-1,0
C:\Users\Kaveri\Downloads\Files\Brida\Brida\src\main\java\burp\BurpExtender.java,BurpExtender$Anonymous59,anonymous,1,1,0,1,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-1,0
C:\Users\Kaveri\Downloads\Files\Brida\Brida\src\main\java\burp\CustomPlugin.java,burp.CustomPlugin,class,12,21,9,12,92,1,4,47,873,0.93617046,0.036077704,0.08788159,47,3,47,0,0,0,47,3,0,0,26,8,8,18,0,0,0,0,17,403,29,6,19,4,4,19,9,99,8,70,3,1,5,0,188,1025,0
C:\Users\Kaveri\Downloads\Files\Brida\Brida\src\main\java\burp\BurpExtender.java,BurpExtender$Anonymous16,anonymous,2,2,0,2,6,1,0,9,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,130,0,0,0,0,0,7,0,8,0,8,2,0,0,0,32,-1,0
C:\Users\Kaveri\Downloads\Files\Brida\Brida\src\main\java\burp\CustomPluginsTableModel.java,burp.CustomPluginsTableModel,class,3,4,1,3,32,2,0,7,16,0.75,0.21428572,0.21428572,8,1,8,0,0,0,8,0,0,0,2,1,0,1,0,1,1,0,1,94,31,0,1,0,0,22,19,3,0,3,2,0,0,0,37,1,0
C:\Users\Kaveri\Downloads\Files\Brida\Brida\src\main\java\burp\BurpExtender.java,BurpExtender$Anonymous17,anonymous,1,1,0,1,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,-1,0
C:\Users\Kaveri\Downloads\Files\Brida\Brida\src\main\java\burp\BurpExtender.java,BurpExtender$Anonymous18,anonymous,1,1,0,1,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,-1,0
C:\Users\Kaveri\Downloads\Files\Brida\Brida\src\main\java\burp\BurpExtender.java,BurpExtender$Anonymous19,anonymous,1,1,0,1,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-1,0
C:\Users\Kaveri\Downloads\Files\Brida\Brida\src\main\java\burp\BurpExtender.java,BurpExtender$Anonymous1$Anonymous11,anonymous,5,5,0,5,16,1,0,18,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,71,3,0,4,0,10,6,7,12,0,12,4,0,0,0,43,-1,0
